B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Header	Main Papers , pp. 55-62	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line headchar-capital
I-Header	Edmonton, May-June 2003	page=0 xpos=7 ypos=0 right-column left-indent font-smallest aligned-line year headchar-capital column-bottom above-blank-line above-double-space above-line-space
Title	A Generative Probabilistic OCR Model for NLP Applications	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
Author	Okan Kolak William Byrne Philip Resnik	page=0 xpos=1 ypos=1 single-column left-indent right-indent font-largest line-blank-line line-double-space line-space headchar-capital
B-Affiliation	Computer Science and UMIACS CLSP Linguistics and UMIACS	page=0 xpos=0 ypos=1 single-column left-indent right-indent font-largest hanged-line longer-tail headchar-capital
I-Affiliation	University of Maryland The Johns Hopkins University University of Maryland	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital
Address	College Park, MD 20742, USA Baltimore, MD 21218, USA College Park, MD 20742, USA	page=0 xpos=0 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail year headchar-capital above-line-space
Email	okan@umiacs.umd.edu byrne@jhu.edu resnik@umiacs.umd.edu	page=0 xpos=0 ypos=2 single-column left-indent right-indent font-larger indented-line line-space symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=3 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	In this paper, we introduce a generative prob-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Abstract	abilistic optical character recognition (OCR)	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	model that describes an end-to-end process in	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the noisy channel framework, progressing from	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	generation of true text through its transforma-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	tion into the noisy output of an OCR system.	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-period
I-Abstract	The model is designed for use in error correc-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-capital tailchar-hiphen
I-Abstract	tion, with a focus on post-processing the output	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	of black-box OCR systems in order to make	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	it more useful for NLP tasks. We present an	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	implementation of the model based on finite-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	state models, demonstrate the model’s ability	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	to significantly reduce character and word er-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ror rate, and provide evaluation results involv-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ing automatic extraction of translation lexicons	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	from printed text.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Although a great deal of text is now available in elec-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	tronic form, vast quantities of information still exist pri-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	marily (or only) in print. Critical applications of NLP	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	technology, such as rapid, rough document translation in	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	the field (Holland and Schlesiger, 1998) or information	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	retrieval from scanned documents (Croft et al., 1994), can	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	depend heavily on the quality of optical character recog-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nition (OCR) output. Doermann (1998) comments, ”Al-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	though the concept of a raw document image database is	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	attractive, comprehensive solutions which do not require	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	complete and accurate conversion to a machine-readable	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	form continue to be elusive for practical systems.”	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower
B-Body	Unfortunately, the output of commercial OCR systems	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	is far from perfect, especially when the language in ques-	page=0 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion is resource-poor (Kanungo et al., in revision). And	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	efforts to acquire new language resources from hardcopy	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	using OCR (Doermann et al., 2002) face something of a	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower
I-Body	chicken-and-egg problem. The problem is compounded	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	by the fact that most OCR system are black boxes that do	page=0 xpos=5 ypos=3 right-column full-justified column-top headchar-lower
I-Body	not allow user tuning or re-training — Baird (1999, re-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ported in (Frederking, 1999)) comments that the lack of	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	ability to rapidly retarget OCR/NLP applications to new	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	languages is “largely due to the monolithic structure of	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	current OCR technology, where language-specific con-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	straints are deeply enmeshed with all the other code.”	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower above-line-space
B-Body	In this paper, we describe a complete probabilistic,	page=0 xpos=5 ypos=4 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-comma
I-Body	generative model for OCR, motivated specifically by (a)	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower
I-Body	the need to deal with monolithic OCR systems, (b) the fo-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cus on OCR as a component in NLP applications, and (c)	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	the ultimate goal of using OCR to help acquire resources	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	for new languages from printed text. After presenting	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	the model itself, we discuss the model’s implementation,	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	training, and its use for post-OCR error correction. We	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	then present two evaluations: one for standalone OCR	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	correction, and one in which OCR is used to acquire a	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	translation lexicon from printed text. We conclude with	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	a discussion of related research and directions for future	page=0 xpos=5 ypos=6 right-column full-justified aligned-line itemization headchar-lower
E-Body	work.	page=0 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 The Model	page=0 xpos=5 ypos=6 right-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Generative “noisy channel” models relate an observable	page=0 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	string to an underlying sequence, in this case recog-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nized  <sub>.</sub> This character relationship strings is and modeled underlying by  word   sequences ,  decom- 	page=0 xpos=5 ypos=7 right-column full-justified box aligned-line headchar-lower
I-Body	posed by Bayes’s Rule   into   steps <sub>(comprising</sub> modeled by sub-steps  gen- (the	page=0 xpos=5 ypos=7 right-column full-justified box aligned-line headchar-lower
I-Body	source model) and     erating from ). Each step and sub-step is completely	page=0 xpos=5 ypos=8 right-column full-justified box aligned-line headchar-lower
I-Body	modular, so one can flexibly make use of existing sub-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	models or devise new ones as necessary. <sup>1</sup>	page=0 xpos=5 ypos=8 right-column right-indent font-largest aligned-line shorter-tail headchar-lower
I-Body	illustrated     <sup>We</sup> begin in with Figure <sub>corresponds</sub> preliminary 1. A to true a definitions true word character sequence and sequence notation, 	page=0 xpos=5 ypos=8 right-column full-justified box aligned-line longer-tail headchar-lower above-line-space
B-Footnote	<sup>1</sup> Note that the process of “generating”  from  is a math-	page=0 xpos=5 ypos=9 right-column left-indent font-largest indented-line line-space headchar-super tailchar-hiphen
I-Footnote	ematical abstraction, not necessarily related to the operation of	page=0 xpos=5 ypos=9 right-column full-justified font-smallest hanged-line headchar-lower
I-Footnote	any particular OCR system.	page=0 xpos=5 ypos=9 right-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period page-bottom
Figure	__Figure 1__	page=1 xpos=1 ypos=-1 left-column centered left-indent right-indent box page-top figure-area above-double-space above-line-space
B-Caption	Figure 1: Word and character segmentation	page=1 xpos=0 ypos=1 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space string-figure headchar-capital above-double-space above-line-space
B-Body	       <sub>,</sub> and the OCR	page=1 xpos=0 ypos=1 left-column left-indent right-indent font-largest shorter-tail line-double-space line-space
I-Body	acter sequence is given by   system’s    output  . char-	page=1 xpos=0 ypos=1 left-column full-justified font-largest hanged-line longer-tail headchar-lower tailchar-hiphen
B-Body	 <sup>A</sup> <sub>subsequences</sub> segmentation is represented of the true as character      sequence   . Seg- into	page=1 xpos=0 ypos=2 left-column full-justified box aligned-line
I-Body	ment boundaries are only allowed between characters.	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	<sup>Subsequences</sup>        are    denoted   , where using segmentation   ,   positions , and	page=1 xpos=0 ypos=2 left-column full-justified font-largest aligned-line headchar-super
I-Body	  	page=1 xpos=0 ypos=2 left-column right-indent font-largest aligned-line shorter-tail
I-Body	   . The   . (The define number character of segments subsequences  need not	page=1 xpos=0 ypos=3 left-column centered left-indent box aligned-line longer-tail
E-Body	in .) equal  the number of words ! and need not be a word	page=1 xpos=0 ypos=3 left-column full-justified box headchar-lower above-line-space
B-Body	Correspondingly, a segmentation of the OCR’d	page=1 xpos=0 ypos=3 left-column left-indent indented-line line-space headchar-capital
I-Body	character        $# sequence  into " subsequences is given by	page=1 xpos=0 ypos=3 left-column full-justified box hanged-line headchar-lower
I-Body	  %    % #    . , where Subsequences %'&   are %'&    denoted , %  by  , % and	page=1 xpos=0 ypos=4 left-column centered left-indent box
I-Body	% *) # ,+- (  . .) The ,+/ <sub>.</sub> % define character subsequences &	page=1 xpos=0 ypos=4 left-column right-indent box aligned-line shorter-tail
E-Body		page=1 xpos=0 ypos=4 left-column left-indent right-indent font-largest aligned-line shorter-tail
B-Body	OCR subsequences: Alignment chunks   are  pairs  <sub>,</sub> of 0 2 corresponding 1    . 2 truth and	page=1 xpos=0 ypos=4 left-column full-justified box longer-tail headchar-capital above-double-space above-line-space
B-SubsectionHeader	2.1 Generation of True Word Sequence	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2
B-Body	The generative process  begins with production      of the true	page=1 xpos=0 ypos=5 left-column full-justified box aligned-line longer-tail headchar-capital
I-Body	word  sequence   354 0-6  0-6    with  8 7 : 9  probability (  < ; 7   . Modeling ; for the example, under-	page=1 xpos=0 ypos=5 left-column full-justified box aligned-line headchar-lower tailchar-hiphen
I-Body	lying sequence at the word level facilitates integration	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	with NLP models, which   is our ultimate goal. For  exam-	page=1 xpos=0 ypos=6 left-column full-justified font-largest aligned-line headchar-lower tailchar-hiphen
I-Body	ple, the distribution  can be defined using -grams,	page=1 xpos=0 ypos=6 left-column full-justified font-largest aligned-line headchar-lower tailchar-comma
I-Body	parse structure, or any other tool in the language model-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ing arsenal.	page=1 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	<sup>2.2</sup> <sup>From</sup> <sup>Words</sup> <sup>to</sup> <sup>Characters</sup> 	page=1 xpos=0 ypos=7 left-column right-indent font-largest aligned-line longer-tail line-double-space line-space headchar-super
B-Body	The first step in transforming to   is  generation  <sub>.</sub> This of step a	page=1 xpos=0 ypos=7 left-column full-justified font-largest aligned-line longer-tail headchar-capital
I-Body	character sequence , modeled as 	page=1 xpos=0 ypos=7 left-column right-indent font-largest aligned-line shorter-tail headchar-lower
I-Body	accommodates the character-based nature of OCR sys-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail headchar-lower tailchar-hiphen
I-Body	tems, and provides a place to model the mapping of dif-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ferent character sequences to the same word sequence	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	(case/font variation) or vice versa (e.g. ambiguous word	page=1 xpos=0 ypos=8 left-column full-justified aligned-line
I-Body	segmentation in Chinese). If the language in question	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	provides explicit word boundaries (e.g. words are sep-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	arated by spaces when printed) then we output ‘#’ to rep-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	resent visible  word boundaries. One possible for our example is = “This#is#an#example.”	page=1 xpos=0 ypos=9 left-column full-justified font-largest aligned-line headchar-lower
B-Footnote	<sup>2</sup> The model is easily modified to permit =? @B > A .	page=1 xpos=0 ypos=9 left-column left-indent right-indent font-largest indented-line shorter-tail symbol-atmark headchar-super tailchar-period column-bottom
B-SubsectionHeader	2.3 Segmentation	page=1 xpos=5 ypos=0 right-column right-indent column-top numbered-heading2 above-double-space above-line-space
B-Body	<sup>Subsequences</sup> <sup>are</sup> <sup>generated</sup>  from by choosing a	page=1 xpos=5 ypos=0 right-column full-justified font-largest aligned-line longer-tail line-double-space line-space headchar-super
I-Body	set of   boundary    <sub>,</sub> is motivated positions, by . the This fact sub-step, that most modeled OCR sys- by	page=1 xpos=5 ypos=0 right-column full-justified font-largest aligned-line headchar-lower
I-Body	 	page=1 xpos=5 ypos=0 right-column right-indent font-largest aligned-line shorter-tail
I-Body	tems first perform image segmentation, and then perform	page=1 xpos=5 ypos=0 right-column full-justified aligned-line longer-tail headchar-lower
E-Body	recognition on a word by word basis.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	For a language with clear word boundaries (or reli-	page=1 xpos=5 ypos=1 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	able tokenization or segmentation algorithms), one could	page=1 xpos=5 ypos=1 right-column full-justified hanged-line headchar-lower
I-Body	simply use spaces to segment the character sequence in	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	a non-probabilistic way. However, OCR systems may	page=1 xpos=5 ypos=1 right-column full-justified aligned-line itemization headchar-lower
I-Body	make segmentation errors and resulting subsequences	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	may or may not be words. Therefore, a probabilistic seg-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation model that accommodates word merge/split er-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	rors is necessary.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	If a segment boundary coincides with a word boundary,	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital tailchar-comma
I-Body	the word boundary marker ‘#’ is considered a part of the	page=1 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	<sup>segment</sup> <sup>on</sup>  both ,   sides. C  D11  E1E A F  possible   segmentation for $G our	page=1 xpos=5 ypos=2 right-column full-justified box aligned-line headchar-super
I-Body	example $H is	page=1 xpos=5 ypos=3 right-column right-indent font-largest aligned-line shorter-tail headchar-lower
I-Body	“#an#”, = “#ex”, JI = , “ample.” i.e. = Notice “This#is#”, the merge =	page=1 xpos=5 ypos=3 right-column full-justified font-largest aligned-line longer-tail
I-Body	error in segment 1 and the split error involving segments	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	3 and 4.	page=1 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail numbered-heading1 tailchar-period above-double-space above-line-space
B-SubsectionHeader	2.4 Character Sequence Transformation	page=1 xpos=5 ypos=4 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-line-space
B-Body	Our characterization of the final step, transformation into	page=1 xpos=5 ypos=4 right-column full-justified aligned-line longer-tail line-space headchar-capital
I-Body	an observed character sequence, is motivated by the need	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	to model OCR systems’ character-level recognition er-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rors. We model each subsequence as being trans-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	formed into an OCR subsequence   , so	page=1 xpos=5 ypos=4 right-column right-indent font-largest aligned-line shorter-tail headchar-lower
B-Equation	  %            #        	page=1 xpos=5 ypos=5 right-column left-indent right-indent box indented-line longer-tail above-double-space above-line-space
I-Body	and we assume each is transformed independently, al-	page=1 xpos=5 ypos=5 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-lower tailchar-hiphen
I-Body	lowing	page=1 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower
B-Equation	      #       LK  M 	page=1 xpos=5 ypos=5 right-column left-indent right-indent box indented-line longer-tail
I-Equation	           	page=1 xpos=5 ypos=5 right-column left-indent right-indent box hanged-line longer-tail above-double-space above-line-space
B-Body	Any character-level    <sub>;</sub> for example string error Brill model and Moore can be (2000) used to or	page=1 xpos=5 ypos=6 right-column left-indent font-largest hanged-line longer-tail line-double-space line-space year headchar-capital
I-Body	define 	page=1 xpos=5 ypos=6 right-column right-indent font-largest hanged-line shorter-tail headchar-lower
I-Body	Kolak and Resnik (2002). This is also a logical place to	page=1 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail year headchar-capital
I-Body	make use of confidence values if provided by the OCR	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	system. We assume that # is always deleted (modeling	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	merge errors), and can never be inserted. Boundary mark-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ers at segment boundaries are re-inserted when segments	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
