Title	Direct Orthographical Mapping for Machine Transliteration	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
Author	ZHANG Min LI Haizhou SU Jian	page=0 xpos=2 ypos=0 single-column left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
B-Affiliation	Institute for Infocomm Research	page=0 xpos=3 ypos=0 single-column left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space headchar-capital above-line-space
Address	21 Heng Mui Keng Terrace, Singapore 11961	page=0 xpos=2 ypos=0 single-column left-indent right-indent hanged-line longer-tail line-space numbered-heading1 year above-line-space
Email	{mzhang, hli, sujian}@i2r.a-star.edu.sg	page=0 xpos=3 ypos=1 single-column left-indent right-indent indented-line shorter-tail line-space symbol-atmark column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=1 left-column centered left-indent right-indent column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Body	Machine transliteration/back-transliteration plays	page=0 xpos=0 ypos=2 left-column left-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Body	an important role in many multilingual speech and	page=0 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower
I-Body	language applications. In this paper, a novel	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	framework for machine transliteration/back-	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	transliteration that allows us to carry out direct	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	orthographical mapping (DOM) between two	page=0 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	different languages is presented. Under this	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	framework, a joint source-channel transliteration	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	model, also called n-gram transliteration model (n-	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gram TM), is further proposed to model the	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	transliteration process. We evaluate the proposed	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	methods through several transliteration/back-	page=0 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	transliteration experiments for English/Chinese and	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	English / Japanese language pairs. Our study reveals	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-capital
I-Body	that the proposed method not only reduces an	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	extensive system development effort but also	page=0 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	improves the transliteration accuracy significantly.	page=0 xpos=0 ypos=4 left-column right-indent aligned-line headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Many technical terms and proper names, such as	page=0 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	personal, location and organization names, are	page=0 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower
I-Body	translated from one language into another language	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	with approximate phonetic equivalents. The	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	phonetic translation from the native language to	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	foreign language is defined as transliteration;	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-semicolon
I-Body	conversely, the process of recalling a word in	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	native language from a transliteration is defined as	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	back-transliteration. For example, English name	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower above-line-space
I-Body	“Smith” and “ 史 密 斯 (pinyin 1 : Shi-Mi-Si)” in	page=0 xpos=0 ypos=7 left-column full-justified aligned-line line-space above-line-space
I-Body	Chinese form a pair of transliteration and back-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line line-space headchar-capital tailchar-hiphen
I-Body	transliteration. In many natural language	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	processing tasks, such as multilingual named entity	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	and term processing, machine translation, corpus	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	alignment, cross lingual information retrieval and	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	automatic bilingual dictionary compilation,	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	automatic name transliteration has become an	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	indispensable component.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Recent efforts are reported for several language	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	pairs, such as English/Chinese (Meng et al., 2001;	page=0 xpos=0 ypos=8 left-column full-justified hanged-line year headchar-lower tailchar-semicolon
I-Body	Virga et al., 2003; Lee et al., 2003; Gao et al.,	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-capital tailchar-comma
I-Body	2004; Guo et al., 2004), English/Japanese (Knight	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year
I-Body	et al., 1998; Brill et al., 2001; Bilac et al., 2004),	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower tailchar-comma above-blank-line above-double-space above-line-space
B-Footnote	<sup>1</sup> Pinyin is the standard Romanization of Chinese.	page=0 xpos=0 ypos=9 left-column left-indent right-indent font-smaller indented-line shorter-tail line-blank-line line-double-space line-space headchar-super tailchar-period column-bottom
I-Body	English/Korean (Oh et al., 2002; Sung et al.,	page=0 xpos=5 ypos=1 right-column full-justified column-top year headchar-capital tailchar-comma
I-Body	2000), and English/Arabic (Yaser et al., 2002).	page=0 xpos=5 ypos=1 right-column full-justified aligned-line year tailchar-period
I-Body	Most of the reported works utilize a phonetic clue	page=0 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	to resolve the transliteration through a multiple	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	step phonemic mapping where algorithms, such as	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	dictionary lookup, rule-based and machine	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	learning-based approaches, have been well	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	explored.	page=0 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In this paper, we will discuss the limitation of	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail headchar-capital
I-Body	the previous works and present a novel framework	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	for machine transliteration. The new framework	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	carries out the transliteration by direct	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	orthographical mapping (DOM) without any	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	intermediate phonemic mapping. Under this	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	framework, we further propose a joint source-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	channel transliteration mode (n-gram TM) as an	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	alternative machine learning-based approach to	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	model the source-target word orthographic	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	association. Without the loss of generality, we	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	evaluate the performance of the proposed method	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	for English/Chinese and English/Japanese pairs.	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	An experiment that compares the proposed method	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-capital
I-Body	with several state-of-art approaches is also	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	presented. The results reveal that our method	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	outperforms other previous methods significantly.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The reminder of the paper is organized as	page=0 xpos=5 ypos=6 right-column left-indent indented-line longer-tail headchar-capital
I-Body	follows. Section 2 reviews the previous work. In	page=0 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower
I-Body	section 3, the DOM framework and n-gram TM	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	model are formulated. Section 4 describes the	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	evaluation results and compares our method with	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	other reported work. Finally, we conclude the	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	study with some discussions.	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Previous Work	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The topic of machine transliteration has been	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	studied extensively for several different language	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	pairs, and many techniques have been proposed.	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	To better understand the nature of the problem, we	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-capital
I-Body	review the previous work from two different	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	viewpoints: the transliteration framework and the	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	transliteration model. The transliteration model is	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	built to capture the knowledge of bilingual	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	phonetic association and subsequently is applied to	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
E-Body	the transliteration process.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
B-SubsectionHeader	2.1 Transliteration Framework	page=1 xpos=0 ypos=0 left-column right-indent page-top numbered-heading2 above-double-space above-line-space
B-Body	The phoneme-based approach has received	page=1 xpos=0 ypos=0 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	remarkable attention in the previous works (Meng	page=1 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	et al., 2001; Virga et al., 2003; Knight et al., 1998;	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-lower tailchar-semicolon
I-Body	Oh et al., 2002; Sung et al., 2000; Yaser et al.,	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-capital tailchar-comma
I-Body	2002; Lee et al., 2003). In general, this approach	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year
I-Body	includes the following three intermediate	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	phonemic/orthographical mapping steps:	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon
B-Listitem	1) Conversion of a source language word into	page=1 xpos=0 ypos=1 left-column left-indent indented-line longer-tail
I-Listitem	its phonemic representation (grapheme-to-	page=1 xpos=0 ypos=1 left-column left-indent indented-line headchar-lower tailchar-hiphen
