B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Header	Main Papers , pp. 24-31	page=0 xpos=7 ypos=0 right-column left-indent font-smallest indented-line headchar-capital
I-Header	Edmonton, May-June 2003	page=0 xpos=7 ypos=0 right-column left-indent font-smallest aligned-line year headchar-capital column-bottom above-blank-line above-double-space above-line-space
Title	In Question Answering, Two Heads Are Better Than One	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space headchar-capital column-bottom above-blank-line above-double-space above-line-space
Author	Jennifer Chu-Carroll Krzysztof Czuba John Prager Abraham Ittycheriah	page=0 xpos=0 ypos=1 left-column left-indent right-over font-largest column-top line-blank-line line-double-space line-space headchar-capital column-bottom
B-Affiliation	IBM T.J. Watson Research Center	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-largest column-top headchar-capital
Address	P.O. Box 704	page=0 xpos=4 ypos=1 single-column centered left-indent right-indent font-largest indented-line shorter-tail headchar-capital
Address	Yorktown Heights, NY 10598, U.S.A.	page=0 xpos=3 ypos=1 single-column centered left-indent right-indent font-largest hanged-line longer-tail headchar-capital tailchar-period
Email	jencc,kczuba,jprager,abei@us.ibm.com	page=0 xpos=2 ypos=2 single-column centered left-indent right-indent font-largest symbol-atmark headchar-lower column-bottom above-blank-line above-double-space above-line-space
AbstractHeader	Abstract	page=0 xpos=1 ypos=2 left-column centered left-indent right-indent font-largest column-top line-blank-line line-double-space line-space string-abstract headchar-capital above-double-space above-line-space
B-Abstract	Motivated by the success of ensemble methods	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space headchar-capital
I-Abstract	in machine learning and other areas of natu-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ral language processing, we developed a multi-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	strategy and multi-source approach to question	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	answering which is based on combining the re-	page=0 xpos=0 ypos=3 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	sults from different answering agents searching	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	for answers in multiple corpora. The answer-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	ing agents adopt fundamentally different strate-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	gies, one utilizing primarily knowledge-based	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	mechanisms and the other adopting statistical	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	techniques. We present our multi-level answer	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	resolution algorithm that combines results from	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the answering agents at the question, passage,	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-comma
